Q1,Q2,Q3,Q4_CoD,Q4_CoS,Q4_IA,Q4_CoC,Q4_CoE,Q5,Q6,Q6_6_TEXT,Q7,Q7_8_TEXT,Q8,Q8_5_TEXT,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19
Have you served as a graduate teaching assistant or grader in the past or currently serving as one?,Which campus of Georgia Tech are you enrolled in?,Which College are you in?,Which School are you in?,Which School are you in?,Which School are you in?,Which School are you in?,Which School are you in?,What is the primary program that you are a part of?,Select the role below that is closest to your most recent TA role - Selected Choice,Select the role below that is closest to your most recent TA role - Other (Please specify) - Text,What were your responsibilities in your most recent TAship? Select all that apply - Selected Choice,What were your responsibilities in your most recent TAship? Select all that apply - Other (Please specify) - Text,What kind of tuition waiver did you get for your most recent TAship? - Selected Choice,What kind of tuition waiver did you get for your most recent TAship? - Other (Please specify) - Text,How many semesters does your school require you to TA?,"If instead of a fixed number of semesters, your school has a different system with respect to teaching requirements, please tell us about that here","On average, how many hours per week were you required to devote to TA responsibilities for your most recent TAship?","Is there a discrepancy between the number of hours you are hired to work for and the number of hours that you actually worked for? If so, please describe",Are you paid for your TAship by the school?,Is your compensation hourly or monthly?,What is the dollar amount of compensation received per month for your TA duties?,What is the dollar amount of compensation received per hour for your TA duties?,Is there anything further that you would like to let us know about the TA compensation policies of your school?,How beneficial do you think the skills that you gain through your TAship will be to you after you graduate? 0 indicates not useful at all and 10 indicates very useful,What do you think were the most useful skills gained through your TAShip? This is the last question of this survey
"{""ImportId"":""QID14""}","{""ImportId"":""QID22""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID9""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_6_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_8_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_5_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID19""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID23_TEXT""}"
Yes,,College of Engineering,,,,,School of Materials Sci & Engg,PhD,Lab Teaching Assistant,,"Grading assignments,Office hours,Conducting lab sessions",,Did not get a waiver,,6,The TA system is pure exploitation and not meant to benefit us.,5-10,I was told the expected amount of work was 10-15 hrs a week by the professor. The college then told me it counted for 5 hrs a week. I have a fellowship and am not paid to do TAing.,No,,,,They're utter garbage and non existent. Fuck TAing.,,
Yes,,College of Engineering,,,,,School of Biomedical Engg,PhD,Other (Please specify),"Grad TA , graded, held breakouts etc.","Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas,Holding recitations",,Did not get a waiver,,2,,10-15,Yes because we don't get any extra funding for TAing,No,,,,N/A,2,
Yes,Atlanta,College of Engineering,,,,,School of Electrical & Computer Engg,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,0,,10-15,,No,,,,,8,
Yes,Atlanta,College of Computing,,,,School of Interactive Computing,,PhD,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,2,,5-10,,Yes,Monthly,2450,,,8,Tutoring and mentoring
Yes,Atlanta,Ivan Allen College,,,"School of Literature, Media & Comm",,,Master's,Graduate Teaching Assistant,,"Grading assignments,Grading exams,Conducting lab sessions",,Full waiver,,0,,10-15,"To my knowledge, no. If there is an overage in the hour to work ratio, we are transparent and readjust accordingly. ",No,,,,"It's challenging to find a TAship in my college to begin with (IAC, LMC). So, it'd be nice to have the resources to acquire a TAship without having to email the entire student and faculty body to secure a position. ",9,"time management, situational leadership, and connections. "
Yes,Atlanta,College of Engineering,,,,,School of Civil & Environmental Engg,PhD,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Half waiver,,Don't know,,5-10,N/A,Yes,Monthly,,,,5,
Yes,Atlanta,College of Sciences,,School of Earth and Atmospheric Sciences,,,,PhD,Head Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas,Conducting lab sessions",,Full waiver,,3,,15-20,"Yes, definitely spend more time than I'm paid for",Yes,Monthly,2100,,,7,
Yes,Atlanta,College of Computing,,,,School of Computer Science,,Master's,Graduate Teaching Assistant,,"Grading assignments,Office hours,Responding to questions on Piazza/Canvas",,Full waiver,,N/A,,15-20,,Yes,Monthly,10000,,,5,
